object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.310538584Z level=info msg="Migration successfully executed" id="create login_attempt v2" duration=544.222µs  
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.314065326Z level=info msg="Executing migration" id="create index IDX_login_attempt_username - v2"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.314655749Z level=info msg="Migration successfully executed" id="create index IDX_login_attempt_username - v2" duration=591.923µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.31764567Z level=info msg="Executing migration" id="copy login_attempt v1 to v2"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.317840777Z level=info msg="Migration successfully executed" id="copy login_attempt v1 to v2" duration=198.408µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.320084468Z level=info msg="Executing migration" id="drop login_attempt_tmp_qwerty"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.320541686Z level=info msg="Migration successfully executed" id="drop login_attempt_tmp_qwerty" duration=457.918µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.323922822Z level=info msg="Executing migration" id="create user auth table"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.32436844Z level=info msg="Migration successfully executed" id="create user auth table" duration=445.618µs    
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.327429863Z level=info msg="Executing migration" id="create index IDX_user_auth_auth_module_auth_id - v1"     
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.328014886Z level=info msg="Migration successfully executed" id="create index IDX_user_auth_auth_module_auth_id - v1" duration=585.923µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.332902083Z level=info msg="Executing migration" id="alter user_auth.auth_id to length 190"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.332971386Z level=info msg="Migration successfully executed" id="alter user_auth.auth_id to length 190" duration=71.503µs
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.336112012Z level=info msg="Executing migration" id="Add OAuth access token to user_auth"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.338784019Z level=info msg="Migration successfully executed" id="Add OAuth access token to user_auth" duration=2.674307ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.341997248Z level=info msg="Executing migration" id="Add OAuth refresh token to user_auth"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.344644755Z level=info msg="Migration successfully executed" id="Add OAuth refresh token to user_auth" duration=2.647207ms
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.347907886Z level=info msg="Executing migration" id="Add OAuth token type to user_auth"
object-detection-grafana  | logger=migrator t=2025-06-27T23:22:49.350636796Z level=info msg="Migration successfully executed" id="Add OAuth token type to user_auth" duration=2.72811ms
